Date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLDM,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
2023-03-31,8196.74846850139,379.039584297031,1508.8755064888,1915.98339993704,6096.66398594043,691.729031590648,240.619601826448,2040.76515079132,372.750259892233,1713.27438655424,1761.73865017157,469.837521086644,184.275364655289,40.2411818817361,4700.37486332771,2381.4754659733,3.65559971170485,695.073156733912,1846.59748332587,989.864177001468,2.26394113349639,110.751270519651,5567.07387081218,6.2356298399311,599.991928182177,917.676779085328,4387.12532126988,1311.35165753642,2108.83246436788,4648.18171729853,592.090388173929,1524.0902089437,22.5909112692081,37.4303336023989,39.9385977848554,7.26562792265148,2055.62841138108,1520.31663428848,277.699149707345,6900.20698708113,87.7139484454205,1.6922889817616,108.724350436266,393.511759241296,30.7430683827372,247.485818626271,140.355012837591,400.732415245167,91.4891943539758
2023-04-03,8341.83091639386,382.867884098431,1440.22167094356,1916.74979329702,6100.93165073059,694.495947717011,241.437708472658,2044.23445154767,370.215558124966,1725.26730726012,1765.61447520195,468.897846044471,184.754480603393,41.5248755837635,4753.95913676964,2370.75882637642,3.59345451660586,690.346659268121,1858.41570721916,992.932755950173,2.28680693894471,113.553277663798,5580.99155548921,6.29549188639444,602.451895087724,938.508041970565,4355.53801895673,1309.38463005011,2112.62836280374,4636.56126300528,596.886320318138,1599.83749232821,22.7400112835848,37.385417202076,39.8187819915008,7.23583884816861,2062.2064222975,1517.2760010199,278.199008176818,6949.88847738811,88.0121758701349,1.68991977718713,108.659115826004,394.4955386394,30.6938794733248,245.728669314025,139.512882760565,398.608533444367,91.8917468091333
2023-04-04,8249.23659322189,377.431160144234,1421.49878922129,1890.10697117019,6046.02326587401,667.202256971732,239.240625325557,2009.07361898105,366.106165429779,1694.03996899871,1749.54738347761,471.383004628507,180.80073471848,40.5199735946364,4743.97582258243,2261.70392036311,3.40300142722575,680.474702040587,1855.62808365833,985.485760280547,2.36958935013451,113.553277663798,5545.27320953408,6.32633979663778,601.367481676566,931.938485676771,4325.92036042783,1259.2351987192,2100.37511829948,4661.59869382551,581.128521461739,1570.0805149709,22.576283202343,36.7872505268428,39.293174069213,7.01948726660837,2065.09351128872,1502.71015141011,271.550051881392,6904.71420228509,87.5633137731973,1.69076473707573,102.172166611191,394.692786408719,30.5035774205902,242.337613677491,134.964762782571,400.123245871456,90.3847221614635
2023-04-05,8158.49499069645,378.374738044594,1374.30502941914,1885.38170374226,6102.25128224664,654.391973637875,239.288473450622,2001.23823186702,363.506811655227,1687.26380912272,1725.92849380066,462.096759437325,179.282008546845,40.5848055523878,4823.67461640181,2199.9594033372,3.31996819240144,674.82676201365,1866.01960092681,969.816536692086,2.39447003831092,113.428369058368,5507.56535170925,6.4149085537907,601.908712410075,949.645316904629,4303.4255745536,1226.36916003262,2092.60373036177,4691.43292546599,573.748189239175,1592.84668243798,22.5966018572251,36.8755399281072,38.841302567417,6.92823393214246,2035.35616472616,1502.40960937983,268.780241352202,6958.57097306291,88.1237189813457,1.67182817202048,101.099358861774,398.047675093193,29.4390025686116,240.665484143116,132.508404099928,409.726203772371,90.2220296615729
2023-04-06,8146.25724821041,373.41802897621,1368.67037879852,1888.96392897937,6126.66028737563,654.522852032602,239.647406160798,1994.83426952505,364.851786858352,1673.259519507,1730.07072218578,458.584824065601,176.915486034027,39.7447000774534,4859.85217602482,2178.39980118449,3.21904115935244,676.851242299691,1867.13921268737,971.853151419139,2.39207556827261,113.632540122673,5451.38818512182,6.4027202275385,605.159019457089,954.583472552533,4278.03536366374,1212.87909927227,2088.00000215498,4701.75407790202,575.239934531197,1568.47612819668,22.7367007887399,36.8534146041503,38.7791564833092,6.96495357198281,2040.44455513798,1496.85069382512,267.409462121306,6971.79225791173,88.079657121855,1.70242262756845,101.675625207286,398.485527535796,29.6980657912154,241.796611918589,131.501340228769,411.938725272742,89.7889639191973
2023-04-10,8210.61268047127,376.778791236996,1375.78746476828,1898.97543780296,6103.3789782836,665.91154965797,242.187668666102,1990.44563413209,365.21663864521,1694.50991540474,1729.37869389691,465.050870084926,178.70233244297,39.6612362072907,4848.67451601997,2215.43259780463,3.33299521639352,680.573924132339,1864.15178994707,977.587085012512,2.35260632139611,115.189305922354,5512.98887161369,6.38479261090139,602.314772065641,958.019973053722,4310.12062889121,1236.651529618,2097.8136021651,4697.5224992319,577.080702321697,1580.39654677097,22.7685321698442,37.0045136040274,39.1669480481423,6.95450614162484,2053.50340029086,1512.71731117967,274.014475835702,6955.05995649274,87.9034978076113,1.69203784954029,103.485451335976,400.836592148257,30.0960198728177,243.440828879635,134.354919311733,411.732755910105,90.7676636259166
2023-04-11,8236.06557978073,380.99871369885,1391.33386312016,1919.48437253124,6116.196074138,676.965681382292,244.004076181098,2011.34531329048,367.700111787997,1713.31897546573,1715.71660221512,469.887399133809,182.472951657517,40.3473755936769,4845.28044385875,2246.89174069345,3.36132567573286,686.69908944953,1872.54047300183,977.000532761505,2.31425883835735,113.645769222994,5467.78236286646,6.43587095178861,603.579633086979,966.642152811206,4317.44783396033,1249.38904037307,2114.38632962221,4737.45144047538,589.949601983471,1593.19775879982,22.8641600049575,37.3930609968696,39.6526182039392,7.01848759812779,2043.85193430949,1523.76014755128,275.795569928634,6989.83525627521,87.7276908119961,1.67477906347497,104.996338925481,401.598181673339,30.3668840516731,245.120570598905,139.70224510034,412.432701595153,91.2215019440462
2023-04-12,8302.77771097695,385.303999163647,1355.02004929272,1906.23993036077,6095.40100748593,681.704441151968,241.320031343106,1979.56605734049,366.045461284951,1715.54629013383,1698.73100785319,468.806658115802,182.363467886522,40.4442092951017,4849.15666821384,2247.79049738973,3.62552587384546,686.767759358475,1867.67186777203,962.052424610254,2.30708463595844,113.520758876849,5436.61600339812,6.38245322288876,604.847150316461,966.352160165363,4321.76528179429,1248.13965133269,2099.79706394781,4721.34410557776,589.654627182479,1592.5604796963,22.9601894769783,37.3594072419725,39.4900424693031,7.00515247169135,2011.35468855397,1528.63618002345,276.264422397513,6982.84542101893,87.8505095791329,1.67075959372263,103.977874437904,395.534049130071,29.6046752619761,242.791925178215,137.941996812076,411.649079462122,90.6468064817987
2023-04-13,8340.97048844745,390.274420752858,1381.98494827365,1929.68668150421,6151.4786967548,682.795168257811,245.301811860267,1996.39236882788,371.828979573254,1728.24133268082,1734.91397832047,476.260683979843,181.871086523229,41.3178042158759,4921.40910257023,2253.85953173268,3.65706794894792,692.261901433343,1869.72630682658,990.529176378717,2.37422079886483,114.406220796088,5502.39905703924,6.42713039544898,609.020595653645,969.444487077892,4394.80311505661,1251.26000046103,2130.66408078785,4785.08225100306,610.115642745711,1603.07137886229,23.205863504382,37.7255294329438,39.8217588260452,7.0969199690705,2051.58178232505,1554.31726784784,275.850025763917,7034.51847713447,88.5093884009764,1.70701507690642,104.248216911442,400.082690695067,30.0457849233795,244.370072691874,139.211063182747,411.77257418596,90.8734234980032
2023-04-14,8175.81927277619,386.800978408158,1377.83899342883,1959.40385639937,6134.25455640389,682.112373089553,243.143155915897,1967.64431871676,370.639126838619,1716.66211575186,1732.48509875082,477.403709621395,182.707693521236,40.7806727610695,4893.35707068557,2240.33637454229,3.66657632561518,696.207794271513,1856.45125004811,980.62388461493,2.29895799954082,113.582496006357,5470.48514250841,6.39628016955083,606.401807092334,953.351708592399,4367.11585543176,1253.38714246181,2137.26913943829,4780.77567697716,610.847781517006,1604.83475737904,23.3195722355535,37.5633096563821,39.6186678560324,7.0969199690705,2048.50440965156,1543.28161524612,275.21557070466,7025.3736031142,88.2704130522938,1.70223543469108,103.153610633872,397.242103591132,29.6672080333449,245.469738018987,138.125216889921,407.901911988612,90.6916766510071
